inventory_id,date_key,branch_id,product_id,stock_qty
STK-20251101-BR000-SKU015128BL,20251101,BR000,SKU015128BL,83
STK-20251101-BR000-SKU015128SI,20251101,BR000,SKU015128SI,83
STK-20251101-BR000-SKU015128PK,20251101,BR000,SKU015128PK,83
STK-20251101-BR000-SKU015256BL,20251101,BR000,SKU015256BL,83
STK-20251101-BR000-SKU015256SI,20251101,BR000,SKU015256SI,83
STK-20251101-BR000-SKU015256PK,20251101,BR000,SKU015256PK,83
STK-20251101-BR000-SKU016128BL,20251101,BR000,SKU016128BL,81
STK-20251101-BR000-SKU016128SI,20251101,BR000,SKU016128SI,81
STK-20251101-BR000-SKU016128PK,20251101,BR000,SKU016128PK,81
STK-20251101-BR000-SKU016256BL,20251101,BR000,SKU016256BL,81
STK-20251101-BR000-SKU016256SI,20251101,BR000,SKU016256SI,81
STK-20251101-BR000-SKU016256PK,20251101,BR000,SKU016256PK,81
STK-20251101-BR000-SKU017128BL,20251101,BR000,SKU017128BL,79
STK-20251101-BR000-SKU017128SI,20251101,BR000,SKU017128SI,79
STK-20251101-BR000-SKU017128PK,20251101,BR000,SKU017128PK,79
STK-20251101-BR000-SKU017256BL,20251101,BR000,SKU017256BL,79
STK-20251101-BR000-SKU017256SI,20251101,BR000,SKU017256SI,79
STK-20251101-BR000-SKU017256PK,20251101,BR000,SKU017256PK,79
STK-20251101-BR001-SKU015128BL,20251101,BR001,SKU015128BL,24
STK-20251101-BR001-SKU015128SI,20251101,BR001,SKU015128SI,24
STK-20251101-BR001-SKU015128PK,20251101,BR001,SKU015128PK,24
STK-20251101-BR001-SKU015256BL,20251101,BR001,SKU015256BL,22
STK-20251101-BR001-SKU015256SI,20251101,BR001,SKU015256SI,22
STK-20251101-BR001-SKU015256PK,20251101,BR001,SKU015256PK,22
STK-20251101-BR001-SKU016128BL,20251101,BR001,SKU016128BL,22
STK-20251101-BR001-SKU016128SI,20251101,BR001,SKU016128SI,22
STK-20251101-BR001-SKU016128PK,20251101,BR001,SKU016128PK,22
STK-20251101-BR001-SKU016256BL,20251101,BR001,SKU016256BL,20
STK-20251101-BR001-SKU016256SI,20251101,BR001,SKU016256SI,20
STK-20251101-BR001-SKU016256PK,20251101,BR001,SKU016256PK,20
STK-20251101-BR001-SKU017128BL,20251101,BR001,SKU017128BL,20
STK-20251101-BR001-SKU017128SI,20251101,BR001,SKU017128SI,20
STK-20251101-BR001-SKU017128PK,20251101,BR001,SKU017128PK,20
STK-20251101-BR001-SKU017256BL,20251101,BR001,SKU017256BL,18
STK-20251101-BR001-SKU017256SI,20251101,BR001,SKU017256SI,18
STK-20251101-BR001-SKU017256PK,20251101,BR001,SKU017256PK,18
STK-20251101-BR002-SKU015128BL,20251101,BR002,SKU015128BL,19
STK-20251101-BR002-SKU015128SI,20251101,BR002,SKU015128SI,19
STK-20251101-BR002-SKU015128PK,20251101,BR002,SKU015128PK,19
STK-20251101-BR002-SKU015256BL,20251101,BR002,SKU015256BL,17
STK-20251101-BR002-SKU015256SI,20251101,BR002,SKU015256SI,17
STK-20251101-BR002-SKU015256PK,20251101,BR002,SKU015256PK,17
STK-20251101-BR002-SKU016128BL,20251101,BR002,SKU016128BL,17
STK-20251101-BR002-SKU016128SI,20251101,BR002,SKU016128SI,17
STK-20251101-BR002-SKU016128PK,20251101,BR002,SKU016128PK,17
STK-20251101-BR002-SKU016256BL,20251101,BR002,SKU016256BL,15
STK-20251101-BR002-SKU016256SI,20251101,BR002,SKU016256SI,15
STK-20251101-BR002-SKU016256PK,20251101,BR002,SKU016256PK,15
STK-20251101-BR002-SKU017128BL,20251101,BR002,SKU017128BL,15
STK-20251101-BR002-SKU017128SI,20251101,BR002,SKU017128SI,15
STK-20251101-BR002-SKU017128PK,20251101,BR002,SKU017128PK,15
STK-20251101-BR002-SKU017256BL,20251101,BR002,SKU017256BL,13
STK-20251101-BR002-SKU017256SI,20251101,BR002,SKU017256SI,13
STK-20251101-BR002-SKU017256PK,20251101,BR002,SKU017256PK,13
STK-20251101-BR003-SKU015128BL,20251101,BR003,SKU015128BL,14
STK-20251101-BR003-SKU015128SI,20251101,BR003,SKU015128SI,14
STK-20251101-BR003-SKU015128PK,20251101,BR003,SKU015128PK,14
STK-20251101-BR003-SKU015256BL,20251101,BR003,SKU015256BL,12
STK-20251101-BR003-SKU015256SI,20251101,BR003,SKU015256SI,12
STK-20251101-BR003-SKU015256PK,20251101,BR003,SKU015256PK,12
STK-20251101-BR003-SKU016128BL,20251101,BR003,SKU016128BL,12
STK-20251101-BR003-SKU016128SI,20251101,BR003,SKU016128SI,12
STK-20251101-BR003-SKU016128PK,20251101,BR003,SKU016128PK,12
STK-20251101-BR003-SKU016256BL,20251101,BR003,SKU016256BL,10
STK-20251101-BR003-SKU016256SI,20251101,BR003,SKU016256SI,10
STK-20251101-BR003-SKU016256PK,20251101,BR003,SKU016256PK,10
STK-20251101-BR003-SKU017128BL,20251101,BR003,SKU017128BL,10
STK-20251101-BR003-SKU017128SI,20251101,BR003,SKU017128SI,10
STK-20251101-BR003-SKU017128PK,20251101,BR003,SKU017128PK,10
STK-20251101-BR003-SKU017256BL,20251101,BR003,SKU017256BL,8
STK-20251101-BR003-SKU017256SI,20251101,BR003,SKU017256SI,8
STK-20251101-BR003-SKU017256PK,20251101,BR003,SKU017256PK,8
STK-20251101-BR004-SKU015128BL,20251101,BR004,SKU015128BL,9
STK-20251101-BR004-SKU015128SI,20251101,BR004,SKU015128SI,9
STK-20251101-BR004-SKU015128PK,20251101,BR004,SKU015128PK,9
STK-20251101-BR004-SKU015256BL,20251101,BR004,SKU015256BL,7
STK-20251101-BR004-SKU015256SI,20251101,BR004,SKU015256SI,7
STK-20251101-BR004-SKU015256PK,20251101,BR004,SKU015256PK,7
STK-20251101-BR004-SKU016128BL,20251101,BR004,SKU016128BL,7
STK-20251101-BR004-SKU016128SI,20251101,BR004,SKU016128SI,7
STK-20251101-BR004-SKU016128PK,20251101,BR004,SKU016128PK,7
STK-20251101-BR004-SKU016256BL,20251101,BR004,SKU016256BL,5
STK-20251101-BR004-SKU016256SI,20251101,BR004,SKU016256SI,5
STK-20251101-BR004-SKU016256PK,20251101,BR004,SKU016256PK,5
