registration_id,date_key,branch_id,product_id,reg_count
REG-20251101-BR001-SKU015128BL,20251101,BR001,SKU015128BL,6
REG-20251101-BR001-SKU015128SI,20251101,BR001,SKU015128SI,6
REG-20251101-BR001-SKU015128PK,20251101,BR001,SKU015128PK,6
REG-20251101-BR001-SKU015256BL,20251101,BR001,SKU015256BL,6
REG-20251101-BR001-SKU015256SI,20251101,BR001,SKU015256SI,6
REG-20251101-BR001-SKU015256PK,20251101,BR001,SKU015256PK,6
REG-20251101-BR001-SKU016128BL,20251101,BR001,SKU016128BL,6
REG-20251101-BR001-SKU016128SI,20251101,BR001,SKU016128SI,6
REG-20251101-BR001-SKU016128PK,20251101,BR001,SKU016128PK,6
REG-20251101-BR001-SKU016256BL,20251101,BR001,SKU016256BL,6
REG-20251101-BR001-SKU016256SI,20251101,BR001,SKU016256SI,6
REG-20251101-BR001-SKU016256PK,20251101,BR001,SKU016256PK,6
REG-20251101-BR001-SKU017128BL,20251101,BR001,SKU017128BL,7
REG-20251101-BR001-SKU017128SI,20251101,BR001,SKU017128SI,7
REG-20251101-BR001-SKU017128PK,20251101,BR001,SKU017128PK,7
REG-20251101-BR001-SKU017256BL,20251101,BR001,SKU017256BL,7
REG-20251101-BR001-SKU017256SI,20251101,BR001,SKU017256SI,7
REG-20251101-BR001-SKU017256PK,20251101,BR001,SKU017256PK,7
REG-20251101-BR002-SKU015128BL,20251101,BR002,SKU015128BL,4
REG-20251101-BR002-SKU015128SI,20251101,BR002,SKU015128SI,4
REG-20251101-BR002-SKU015128PK,20251101,BR002,SKU015128PK,4
REG-20251101-BR002-SKU015256BL,20251101,BR002,SKU015256BL,4
REG-20251101-BR002-SKU015256SI,20251101,BR002,SKU015256SI,4
REG-20251101-BR002-SKU015256PK,20251101,BR002,SKU015256PK,4
REG-20251101-BR002-SKU016128BL,20251101,BR002,SKU016128BL,4
REG-20251101-BR002-SKU016128SI,20251101,BR002,SKU016128SI,4
REG-20251101-BR002-SKU016128PK,20251101,BR002,SKU016128PK,4
REG-20251101-BR002-SKU016256BL,20251101,BR002,SKU016256BL,4
REG-20251101-BR002-SKU016256SI,20251101,BR002,SKU016256SI,4
REG-20251101-BR002-SKU016256PK,20251101,BR002,SKU016256PK,4
REG-20251101-BR002-SKU017128BL,20251101,BR002,SKU017128BL,4
REG-20251101-BR002-SKU017128SI,20251101,BR002,SKU017128SI,4
REG-20251101-BR002-SKU017128PK,20251101,BR002,SKU017128PK,4
REG-20251101-BR002-SKU017256BL,20251101,BR002,SKU017256BL,4
REG-20251101-BR002-SKU017256SI,20251101,BR002,SKU017256SI,4
REG-20251101-BR002-SKU017256PK,20251101,BR002,SKU017256PK,4
REG-20251101-BR003-SKU015128BL,20251101,BR003,SKU015128BL,3
REG-20251101-BR003-SKU015128SI,20251101,BR003,SKU015128SI,3
REG-20251101-BR003-SKU015128PK,20251101,BR003,SKU015128PK,3
REG-20251101-BR003-SKU015256BL,20251101,BR003,SKU015256BL,3
REG-20251101-BR003-SKU015256SI,20251101,BR003,SKU015256SI,3
REG-20251101-BR003-SKU015256PK,20251101,BR003,SKU015256PK,3
REG-20251101-BR003-SKU016128BL,20251101,BR003,SKU016128BL,3
REG-20251101-BR003-SKU016128SI,20251101,BR003,SKU016128SI,3
REG-20251101-BR003-SKU016128PK,20251101,BR003,SKU016128PK,3
REG-20251101-BR003-SKU016256BL,20251101,BR003,SKU016256BL,3
REG-20251101-BR003-SKU016256SI,20251101,BR003,SKU016256SI,3
REG-20251101-BR003-SKU016256PK,20251101,BR003,SKU016256PK,3
